Portfolio Manager Meter ID,Meter Name,Meter Type
31548254,EL1,Electric - Grid
49324439,EL2,Electric - Grid
49327760,EL3,Electric - Grid
49324969,EL4,Electric - Grid
49325200,EL5,Electric - Grid
97503345,EL6,Electric - Grid
31548250,NG1,Natural Gas
31548249,NG2,Natural Gas
31548251,NG3,Natural Gas
49324175,NG4,Natural Gas
49324216,NG5,Natural Gas
49324348,NG6,Natural Gas
49324390,NG7,Natural Gas
81413017,NG8,Natural Gas
49324753,NG9,Natural Gas
49325021,NG10,Natural Gas
49325117,NG11,Natural Gas
49325377,NG12,Natural Gas
49440466,NG13,Natural Gas
49450360,NG14,Natural Gas
49327857,NG15,Natural Gas
